,Date,Team,Acquired,Relinquished,Notes
0,2019-07-01,76ers,,Amir Johnson,placed on IL
1,2019-10-01,Wizards,,John Wall (Hildred),placed on IL recovering from torn left Achilles tendon (out for season)
2,2019-10-21,Raptors,,Patrick McCaw,placed on IL with sore left knee
3,2019-10-21,Raptors,,Rondae Hollis-Jefferson,placed on IL with left groin injury
4,2019-10-22,Clippers,,Paul George,placed on IL with right shoulder injury
5,2019-10-22,Clippers,,Rodney McGruder,placed on IL with sprained right ankle
6,2019-10-22,Lakers,,DeMarcus Cousins,placed on IL recovering from surery on left knee to repair torn ACL
7,2019-10-22,Lakers,,Kyle Kuzma,placed on IL with stress reaction in left ankle/foot
8,2019-10-22,Lakers,,Rajon Rondo,placed on IL with right calf injury
9,2019-10-22,Pelicans,,Zion Williamson,placed on IL recovering from surgery on right knee to repair torn meniscus
10,2019-10-22,Suns,,Cameron Johnson,placed on IL with left calf injury
11,2019-10-23,76ers,,Zhaire Smith,placed on IL
12,2019-10-23,Blazers,,Jusuf Nurkic,placed on IL
13,2019-10-23,Blazers,,Pau Gasol,placed on IL with left foot injury
14,2019-10-23,Bulls,,Adam Mokoka,placed on IL
15,2019-10-23,Bulls,,Chandler Hutchison,placed on IL with strained left hamstring
16,2019-10-23,Bulls,,Cristiano Felicio,placed on IL
17,2019-10-23,Bulls,,Max Strus,placed on IL
18,2019-10-23,Cavaliers,,Ante Zizic,placed on IL with left foot injury
19,2019-10-23,Cavaliers,,John Henson,placed on IL with sprained right ankle
20,2019-10-23,Celtics,,Romeo Langford,placed on IL with sore right knee
21,2019-10-23,Grizzlies,,Andre Iguodala,placed on IL
22,2019-10-23,Heat,,Dion Waiters,placed on IL
23,2019-10-23,Heat,,James Johnson,placed on IL for conditioning
24,2019-10-23,Heat,,Udonis Haslem,placed on IL with sprained left wrist (DTD)
25,2019-10-23,Jazz,,Dante Exum,placed on IL with right knee injury
26,2019-10-23,Kings,,Harry Giles III,placed on IL with sore left knee
27,2019-10-23,Knicks,,Kadeem Allen,placed on IL with sore right knee
28,2019-10-23,Knicks,,Mitchell Robinson,placed on IL with sprained right ankle
29,2019-10-23,Knicks,,Reggie Bullock,placed on IL with surgery on neck
30,2019-10-23,Mavericks,,Dwight Powell,placed on IL with strained left hamstring
31,2019-10-23,Mavericks,,Ryan Broekhoff,placed on IL with sprained right ankle
32,2019-10-23,Nets,,Nicolas Claxton / Nic Claxton,placed on IL
33,2019-10-23,Nuggets,,Bol Bol,placed on IL with left foot injury
34,2019-10-23,Pistons,,Blake Griffin,placed on IL with left hamstring injury
35,2019-10-23,Pistons,,Jordan Bone,placed on IL
36,2019-10-23,Pistons,,Sekou Doumbouya,placed on IL
37,2019-10-23,Suns,,Jalen Lecque,placed on IL
38,2019-10-23,Suns,,Ty Jerome,placed on IL with sprained right ankle
39,2019-10-23,Thunder,,Andre Roberson,placed on IL with left knee injury
40,2019-10-23,Timberwolves,,Keita Bates-Diop,placed on IL
41,2019-10-23,Timberwolves,,Naz Reid,placed on IL with sore right shoulder
42,2019-10-23,Wizards,,C.J. Miles,placed on IL with left foot injury
43,2019-10-23,Wizards,,Ian Mahinmi,placed on IL with right Achilles injury
44,2019-10-23,Wizards,,Troy Brown Jr.,placed on IL with strained left calf
45,2019-10-24,Bucks,,Dragan Bender,placed on IL
46,2019-10-24,Bucks,,Frank Mason,placed on IL
47,2019-10-24,Hawks,,Allen Crabbe,placed on IL with right knee injury
48,2019-10-24,Hawks,,Chandler Parsons,placed on IL with knee injury
49,2019-10-24,Rockets,,Nene / Nene Hilario / Maybyner Hilario,placed on IL with adductor injury
50,2019-10-24,Warriors,,Alec Burks,placed on IL with sprained right ankle
51,2019-10-24,Warriors,,Willie Cauley-Stein,placed on IL with left foot injury
52,2019-10-25,Celtics,,Enes Kanter / Enes Freedom,placed on IL with bruised left knee
53,2019-10-25,Hornets,,Nicolas Batum,placed on IL with fractured finger
54,2019-10-25,Jazz,,Bojan Bogdanovic,placed on IL with sprained left ankle
55,2019-10-25,Kings,,Marvin Bagley III,placed on IL with fractured right thumb
56,2019-10-25,Knicks,Mitchell Robinson,,activated from IL
57,2019-10-25,Mavericks,,Isaiah Roby,placed on IL
58,2019-10-25,Mavericks,Ryan Broekhoff,,activated from IL
59,2019-10-26,76ers,,Joel Embiid,placed on IL with sprained right ankle
60,2019-10-26,Cavaliers,John Henson,,activated from IL
61,2019-10-26,Celtics,,Daniel Theis,placed on IL with sprained left ankle
62,2019-10-26,Celtics,,Tacko Fall,placed on IL with concussion
63,2019-10-26,Celtics,Tacko Fall,,activated from IL
64,2019-10-26,Heat,Udonis Haslem,,activated from IL
65,2019-10-26,Jazz,Bojan Bogdanovic,,activated from IL
66,2019-10-26,Pacers,,Jeremy Lamb,placed on IL with right hip pointer
67,2019-10-26,Pelicans,,Jrue Holiday,placed on IL with sprained left knee
68,2019-10-26,Pistons,,Reggie Jackson (Shon),placed on IL with back injury
69,2019-10-26,Pistons,Jordan Bone,,activated from IL
70,2019-10-26,Raptors,Rondae Hollis-Jefferson,,activated from IL
71,2019-10-26,Suns,,Ricky Rubio,placed on IL with bruised left knee
72,2019-10-26,Suns,Cameron Johnson,,activated from IL
73,2019-10-27,Heat,,Derrick Jones Jr.,placed on IL with strained left groin
74,2019-10-27,Warriors,,Kevon Looney,placed on IL with neuropathy
75,2019-10-28,76ers,Joel Embiid,,activated from IL
76,2019-10-28,Blazers,,Zach Collins,placed on IL with left shoulder injury
77,2019-10-28,Cavaliers,,John Henson,placed on IL with strained right hamstring
78,2019-10-28,Pistons,,Jordan Bone,placed on IL
79,2019-10-28,Raptors,Patrick McCaw,,activated from IL
80,2019-10-28,Suns,Ricky Rubio,,activated from IL
81,2019-10-28,Suns,,Jared Harper,placed on IL
82,2019-10-29,Hawks,,Evan Turner,placed on IL with left Achilles injury
83,2019-10-29,Knicks,,Elfrid Payton,placed on IL with strained right hamstring
84,2019-10-29,Mavericks,,Ryan Broekhoff,placed on IL
85,2019-10-29,Mavericks,Dwight Powell,,activated from IL
86,2019-10-29,Wizards,Troy Brown Jr.,,activated from IL
87,2019-10-30,76ers,,Shake Milton,placed on IL with left knee injury
88,2019-10-30,Celtics,,Jaylen Brown,placed on IL with illness
89,2019-10-30,Celtics,Daniel Theis,,activated from IL
90,2019-10-30,Celtics,Romeo Langford,,activated from IL
91,2019-10-30,Clippers,,Kawhi Leonard,placed on IL
92,2019-10-30,Clippers,Rodney McGruder,,activated from IL
93,2019-10-30,Pacers,,Edmond Sumner,placed on IL with fractured right hand
94,2019-10-30,Pacers,Jeremy Lamb,,activated from IL
95,2019-10-30,Thunder,,Steven Adams,placed on IL with bruised left knee
96,2019-10-30,Warriors,,Jacob Evans,placed on IL with strained left adductor
97,2019-10-30,Warriors,Alec Burks,,activated from IL
98,2019-10-30,Warriors,Willie Cauley-Stein,,activated from IL
99,2019-10-31,Cavaliers,,Matthew Dellavedova,placed on IL for personal reasons (birth of child)
100,2019-10-31,Clippers,Kawhi Leonard,,activated from IL
101,2019-10-31,Hawks,,Trae Young,placed on IL with sprained right ankle
102,2019-10-31,Heat,,K.Z. Okpala,placed on IL with left Achilles injury
103,2019-10-31,Heat,James Johnson,,activated from IL
104,2019-10-31,Nuggets,,Will Barton,placed on IL with toe injury
105,2019-10-31,Pelicans,Jrue Holiday,,activated from IL
106,2019-11-01,Bucks,,Kyle Korver,placed on IL
107,2019-11-01,Celtics,,Robert Williams III,placed on IL with sore left hip
108,2019-11-01,Knicks,Kadeem Allen,,activated from IL
109,2019-11-01,Lakers,Kyle Kuzma,,activated from IL
110,2019-11-01,Magic,,Michael Carter-Williams,placed on IL with bruised left hip
111,2019-11-01,Pacers,,Myles Turner,placed on IL with sprained right ankle
112,2019-11-01,Warriors,,Stephen Curry,placed on IL with fractured left hand
113,2019-11-02,Bucks,Kyle Korver,,activated from IL
114,2019-11-02,Jazz,,Ed Davis (Adam),placed on IL with fractured fibula in left leg
115,2019-11-02,Magic,,Melvin Frazier Jr.,placed on IL with bruised left shoulder
116,2019-11-02,Pistons,,Tim Frazier,placed on IL with strained right shoulder
117,2019-11-02,Pistons,Jordan Bone,,activated from IL
118,2019-11-02,Wizards,,Jordan McRae,placed on IL with fractured finger
119,2019-11-03,Bulls,Chandler Hutchison,,activated from IL
120,2019-11-03,Heat,Dion Waiters,,activated from IL
121,2019-11-03,Jazz,,Emmanuel Mudiay,placed on IL with left hamstring injury
122,2019-11-03,Mavericks,,Maximilian Kleber / Maxi Kleber,placed on IL with bruised right knee
123,2019-11-03,Mavericks,Ryan Broekhoff,,activated from IL
124,2019-11-03,Pacers,,Domantas Sabonis,placed on IL with left calf injury
125,2019-11-04,Blazers,,Zach Collins,placed on IL with surgery on left shoulder
126,2019-11-04,Grizzlies,,Grayson Allen,placed on IL with sore left ankle
127,2019-11-04,Grizzlies,,Jaren Jackson Jr.,placed on IL with sore right knee
128,2019-11-04,Nets,Nicolas Claxton / Nic Claxton,,activated from IL
129,2019-11-04,Pistons,,Derrick Rose,placed on IL with right hamstring injury
130,2019-11-04,Wizards,C.J. Miles,,activated from IL
131,2019-11-05,Cavaliers,Matthew Dellavedova,,activated from IL
132,2019-11-05,Celtics,,Romeo Langford,placed on IL with illness
133,2019-11-05,Celtics,Robert Williams III,,activated from IL
134,2019-11-05,Hawks,Trae Young,,activated from IL
135,2019-11-05,Heat,,Dion Waiters,placed on IL
136,2019-11-05,Heat,Derrick Jones Jr.,,activated from IL
137,2019-11-05,Magic,Michael Carter-Williams,,activated from IL
138,2019-11-05,Nuggets,,Vlatko Cancar,placed on IL
139,2019-11-05,Nuggets,Will Barton,,activated from IL
140,2019-11-05,Thunder,Steven Adams,,activated from IL
141,2019-11-05,Celtics,Enes Kanter / Enes Freedom,,activated from IL
142,2019-11-05,Magic,Melvin Frazier Jr.,,activated from IL
143,2019-11-06,Clippers,,Kawhi Leonard,placed on IL
144,2019-11-06,Grizzlies,Jaren Jackson Jr.,,activated from IL
145,2019-11-06,Magic,,Terrence Ross,placed on IL with sore right knee
146,2019-11-06,Mavericks,,Ryan Broekhoff,placed on IL
147,2019-11-06,Mavericks,Maximilian Kleber / Maxi Kleber,,activated from IL
148,2019-11-06,Pacers,,Jeremy Lamb,placed on IL with sprained left ankle
149,2019-11-06,Pacers,Domantas Sabonis,,activated from IL
150,2019-11-06,Raptors,,Patrick McCaw,placed on IL with left knee injury
151,2019-11-06,Rockets,,Eric Gordon,placed on IL with left hamstring injury
152,2019-11-06,Timberwolves,,Jeff Teague,placed on IL with illness
153,2019-11-06,Warriors,,Draymond Green,placed on IL with left index finger injury
154,2019-11-06,Wizards,Jordan McRae,,activated from IL
155,2019-11-07,Celtics,,Enes Kanter / Enes Freedom,placed on IL with bruised left knee
156,2019-11-07,Celtics,Jaylen Brown,,activated from IL
157,2019-11-07,Clippers,Kawhi Leonard,,activated from IL
158,2019-11-07,Heat,,Justise Winslow,placed on IL with concussion
159,2019-11-08,76ers,,Ben Simmons,placed on IL with right shoulder injury
160,2019-11-08,Kings,Harry Giles III,,activated from IL
161,2019-11-08,Knicks,,Mitchell Robinson,placed on IL with concussion
162,2019-11-08,Nets,,DeAndre Jordan,placed on IL with sprained left ankle
163,2019-11-08,Pacers,,Goga Bitadze,placed on IL with concussion
164,2019-11-09,Bucks,,Kyle Korver,placed on IL with bruised head
165,2019-11-09,Bulls,,Otto Porter Jr.,placed on IL with sprained left foot
166,2019-11-09,Grizzlies,,Brandon Clarke,placed on IL with back injury
167,2019-11-09,Mavericks,Ryan Broekhoff,,activated from IL
168,2019-11-09,Pelicans,,Lonzo Ball,placed on IL with strained right adductor
169,2019-11-09,Raptors,,Serge Ibaka,placed on IL with sprained right ankle
170,2019-11-09,Rockets,Eric Gordon,,activated from IL
171,2019-11-10,Hawks,Allen Crabbe,,activated from IL
172,2019-11-10,Magic,Terrence Ross,,activated from IL
173,2019-11-10,Nets,DeAndre Jordan,,activated from IL
174,2019-11-10,Raptors,,Kyle Lowry,placed on IL with fractured left thumb
175,2019-11-10,Thunder,,Steven Adams,placed on IL with bruised left knee
176,2019-11-11,Celtics,,Gordon Hayward,placed on IL with fractured left hand
177,2019-11-11,Celtics,Enes Kanter / Enes Freedom,,activated from IL
178,2019-11-11,Grizzlies,Brandon Clarke,,activated from IL
179,2019-11-11,Jazz,Emmanuel Mudiay,,activated from IL
180,2019-11-11,Mavericks,,Ryan Broekhoff,placed on IL
181,2019-11-11,Pistons,,Khyri Thomas,placed on IL with stress reaction in right foot
182,2019-11-11,Pistons,Blake Griffin,,activated from IL
183,2019-11-11,Pistons,Derrick Rose,,activated from IL
184,2019-11-11,Pistons,Tim Frazier,,activated from IL
185,2019-11-11,Warriors,Draymond Green,,activated from IL
186,2019-11-11,Celtics,Romeo Langford,,activated from IL
187,2019-11-12,76ers,,Trey Burke,placed on IL with left calf injury
188,2019-11-12,76ers,Ben Simmons,,activated from IL
189,2019-11-12,76ers,Shake Milton,,activated from IL
190,2019-11-12,Heat,,James Johnson,placed on IL with illness
191,2019-11-12,Kings,,De'Aaron Fox,placed on IL with sprained left ankle
192,2019-11-12,Lakers,Rajon Rondo,,activated from IL
193,2019-11-12,Nets,,Caris LeVert,placed on IL with right thumb injury (surgery)
194,2019-11-12,Rockets,,Eric Gordon,placed on IL with surgery on right knee
195,2019-11-12,Thunder,Steven Adams,,activated from IL
196,2019-11-12,Warriors,,Damion Lee,placed on IL with fractured right hand
197,2019-11-13,76ers,Trey Burke,,activated from IL
198,2019-11-13,Celtics,,Daniel Theis,placed on IL with finger injury
199,2019-11-13,Clippers,,Landry Shamet,placed on IL with sprained left ankle
200,2019-11-13,Hornets,,Dwayne Bacon,placed on IL with sore right knee
201,2019-11-13,Lakers,,Anthony Davis,placed on IL with sore right shoulder
202,2019-11-13,Raptors,,Ogugua Anunoby / O.G. Anunoby,placed on IL with right eye injury
203,2019-11-13,Rockets,,Danuel House Jr.,placed on IL with back injury
204,2019-11-13,Timberwolves,Jeff Teague,,activated from IL
205,2019-11-14,Bucks,,Khris Middleton,placed on IL with left thigh injury
206,2019-11-14,Bucks,Kyle Korver,,activated from IL
207,2019-11-14,Clippers,,Patrick Beverley,placed on IL with left calf injury
208,2019-11-14,Clippers,Paul George,,activated from IL
209,2019-11-14,Hawks,,Kevin Huerter,placed on IL with strained rotator cuff in left shoulder
210,2019-11-14,Heat,James Johnson,,activated from IL
211,2019-11-14,Knicks,Mitchell Robinson,,activated from IL
212,2019-11-15,Celtics,,Romeo Langford,placed on IL
213,2019-11-15,Celtics,Daniel Theis,,activated from IL
214,2019-11-15,Kings,,Trevor Ariza,placed on IL with right groin injury
215,2019-11-15,Lakers,,Avery Bradley,placed on IL with right leg injury
216,2019-11-15,Lakers,Anthony Davis,,activated from IL
217,2019-11-15,Magic,,Jonathan Isaac,placed on IL with sprained right ankle
218,2019-11-15,Pacers,Goga Bitadze,,activated from IL
219,2019-11-15,Pistons,,Jordan Bone,placed on IL
220,2019-11-15,Rockets,,Clint Capela,placed on IL with concussion
221,2019-11-15,Timberwolves,,Andrew Wiggins,placed on IL for personal reasons
222,2019-11-15,Timberwolves,Keita Bates-Diop,,activated from IL
223,2019-11-15,Jazz,Dante Exum,,activated from IL
224,2019-11-16,Clippers,,Kawhi Leonard,placed on IL with bruised left knee
225,2019-11-16,Hawks,Chandler Parsons,,activated from IL
226,2019-11-16,Hawks,Evan Turner,,activated from IL
227,2019-11-16,Hornets,Dwayne Bacon,,activated from IL
228,2019-11-16,Hornets,Nicolas Batum,,activated from IL
229,2019-11-16,Pacers,,Malcolm Brogdon,placed on IL with sore lower back
230,2019-11-16,Pacers,,T.J. McConnell,placed on IL with right groin injury
231,2019-11-16,Pacers,Myles Turner,,activated from IL
232,2019-11-16,Pelicans,,Jahlil Okafor,placed on IL with sprained left ankle
233,2019-11-16,Raptors,Ogugua Anunoby / O.G. Anunoby,,activated from IL
234,2019-11-17,Cavaliers,,Larry Nance Jr.,placed on IL with sprained left thumb
235,2019-11-17,Cavaliers,Ante Zizic,,activated from IL
236,2019-11-17,Kings,Trevor Ariza,,activated from IL
237,2019-11-17,Pelicans,,Derrick Favors,placed on IL with lower back spasms
238,2019-11-17,Timberwolves,,Andrew Wiggins,placed on IL with illness
239,2019-11-17,Pelicans,Jahlil Okafor,,activated from IL
240,2019-11-18,Bulls,,Luke Kornet,placed on IL recovering from surgery on sinus
241,2019-11-18,Cavaliers,,Kevin Love,placed on IL with bruised lower back
242,2019-11-18,Clippers,Patrick Beverley,,activated from IL
243,2019-11-18,Nets,,Kyrie Irving,placed on IL with right shoulder injury
244,2019-11-18,Raptors,,Stanley Johnson,placed on IL with left groin injury
245,2019-11-18,Rockets,Clint Capela,,activated from IL
246,2019-11-18,Rockets,Danuel House Jr.,,activated from IL
247,2019-11-18,Timberwolves,,Shabazz Napier,placed on IL with strained right hamstring
248,2019-11-18,Timberwolves,Naz Reid,,activated from IL
249,2019-11-19,Kings,,Trevor Ariza,placed on IL with right groin injury
250,2019-11-20,76ers,,Josh Richardson,placed on IL with right hip flexor injury
251,2019-11-20,Bulls,,Chandler Hutchison,placed on IL with shin injury
252,2019-11-20,Bulls,Max Strus,,activated from IL
253,2019-11-20,Cavaliers,,Brandon Knight,placed on IL with sprained right ankle
254,2019-11-20,Cavaliers,,Tristan Thompson,placed on IL
255,2019-11-20,Cavaliers,Kevin Love,,activated from IL
256,2019-11-20,Cavaliers,Larry Nance Jr.,,activated from IL
257,2019-11-20,Clippers,Kawhi Leonard,,activated from IL
258,2019-11-20,Jazz,,Nigel Williams-Goss,placed on IL
259,2019-11-20,Magic,,Michael Carter-Williams,placed on IL with hip injury
260,2019-11-20,Magic,Jonathan Isaac,,activated from IL
261,2019-11-20,Mavericks,,Seth Curry,placed on IL with illness
262,2019-11-20,Mavericks,Ryan Broekhoff,,activated from IL
263,2019-11-20,Spurs,,Derrick White,placed on IL with sore left foot
264,2019-11-20,Timberwolves,,Jake Layman,placed on IL with toe injury
265,2019-11-20,Timberwolves,,Naz Reid,placed on IL
266,2019-11-20,Timberwolves,Shabazz Napier,,activated from IL
267,2019-11-20,Blazers,Pau Gasol,,activated from IL
268,2019-11-21,Blazers,,Hassan Whiteside,placed on IL with right hip injury
269,2019-11-21,Pelicans,Lonzo Ball,,activated from IL
270,2019-11-22,Cavaliers,Brandon Knight,,activated from IL
271,2019-11-22,Cavaliers,Tristan Thompson,,activated from IL
272,2019-11-22,Hawks,,Cameron Reddish / Cam Reddish,placed on IL with sprained left wrist
273,2019-11-22,Rockets,,Danuel House Jr.,placed on IL with sore left shoulder
274,2019-11-23,76ers,,Furkan Korkmaz,placed on IL with sprained left ankle
275,2019-11-23,76ers,Josh Richardson,,activated from IL
276,2019-11-23,Blazers,,Damian Lillard,placed on IL with back spasms
277,2019-11-23,Blazers,Damian Lillard,,activated from IL
278,2019-11-23,Bucks,,Ersan Ilyasova,placed on IL with sore left heel
279,2019-11-23,Bucks,Dragan Bender,,activated from IL
280,2019-11-23,Bulls,Chandler Hutchison,,activated from IL
281,2019-11-23,Grizzlies,Grayson Allen,,activated from IL
282,2019-11-23,Magic,,Aaron Gordon,placed on IL with bruised right ankle
283,2019-11-23,Pacers,,JaKarr Sampson,placed on IL with sore back
284,2019-11-23,Pacers,Jeremy Lamb,,activated from IL
285,2019-11-23,Pacers,T.J. McConnell,,activated from IL
286,2019-11-23,Pistons,,Blake Griffin,placed on IL with left hamstring injury
287,2019-11-23,Pistons,,Tony Snell,placed on IL with strained left hip
288,2019-11-23,Pistons,Jordan Bone,,activated from IL
289,2019-11-23,Pistons,Sekou Doumbouya,,activated from IL
290,2019-11-23,Raptors,,Dewan Hernandez,placed on IL with sprained right thumb
291,2019-11-23,Spurs,Derrick White,,activated from IL
292,2019-11-23,Timberwolves,,Robert Covington,placed on IL for personal reasons
293,2019-11-24,Mavericks,,Ryan Broekhoff,placed on IL
294,2019-11-24,Mavericks,Seth Curry,,activated from IL
295,2019-11-24,Rockets,Danuel House Jr.,,activated from IL
296,2019-11-25,76ers,,Kyle O'Quinn,placed on IL with strained left calf
297,2019-11-25,76ers,Furkan Korkmaz,,activated from IL
298,2019-11-25,Blazers,,Gary Trent Jr.,placed on IL with strained right hamstring
299,2019-11-25,Blazers,Hassan Whiteside,,activated from IL
300,2019-11-25,Bucks,,George Hill,placed on IL with sore back
301,2019-11-25,Bucks,Ersan Ilyasova,,activated from IL
302,2019-11-25,Bulls,,Max Strus,placed on IL
303,2019-11-25,Celtics,,Daniel Theis,placed on IL with illness
304,2019-11-25,Celtics,,Kemba Walker,placed on IL with sprained neck
305,2019-11-25,Hawks,Cameron Reddish / Cam Reddish,,activated from IL
306,2019-11-25,Jazz,,Rudy Gobert,placed on IL with sprained left ankle
307,2019-11-25,Nets,,DeAndre Jordan,placed on IL with sore left ankle
308,2019-11-25,Pacers,,Nazareth Mitrou-Long / Naz Mitrou-Long / Naz Long,placed on IL
309,2019-11-25,Pacers,Malcolm Brogdon,,activated from IL
310,2019-11-25,Pistons,,Jordan Bone,placed on IL
311,2019-11-25,Pistons,,Sekou Doumbouya,placed on IL
312,2019-11-25,Pistons,Blake Griffin,,activated from IL
313,2019-11-25,Pistons,Tony Snell,,activated from IL
314,2019-11-25,Raptors,,Matt Thomas,placed on IL with fractured finger
315,2019-11-25,Thunder,,Hamidou Diallo,placed on IL with sprained right elbow
316,2019-11-25,Timberwolves,,Shabazz Napier,placed on IL
317,2019-11-27,Bucks,,Dragan Bender,placed on IL
318,2019-11-27,Bucks,,Thanasis Antetokounmpo,placed on IL with illness
319,2019-11-27,Bucks,Frank Mason,,activated from IL
320,2019-11-27,Bucks,Khris Middleton,,activated from IL
321,2019-11-27,Bulls,Luke Kornet,,activated from IL
322,2019-11-27,Bulls,Max Strus,,activated from IL
323,2019-11-27,Celtics,Daniel Theis,,activated from IL
324,2019-11-27,Celtics,Kemba Walker,,activated from IL
325,2019-11-27,Heat,,Derrick Jones Jr.,placed on IL with strained left hip
326,2019-11-27,Heat,Justise Winslow,,activated from IL
327,2019-11-27,Hornets,,Cody Zeller,placed on IL with bruised left hip
328,2019-11-27,Jazz,Rudy Gobert,,activated from IL
329,2019-11-27,Rockets,,Clint Capela,placed on IL with illness
330,2019-11-27,Spurs,,Chimezie Metu,placed on IL with sore left foot
331,2019-11-27,Suns,,Deandre Ayton,placed on IL with sprained right ankle
332,2019-11-27,Timberwolves,Shabazz Napier,,activated from IL
333,2019-11-27,Wizards,,C.J. Miles,placed on IL with left wrist injury
334,2019-11-29,76ers,,Josh Richardson,placed on IL with right hamstring injury
335,2019-11-29,76ers,Zhaire Smith,,activated from IL
336,2019-11-29,Bucks,,Kyle Korver,placed on IL with sore right elbow
337,2019-11-29,Bucks,,Sterling Brown,placed on IL with sprained right shoulder
338,2019-11-29,Bucks,George Hill,,activated from IL
339,2019-11-29,Bulls,,Chandler Hutchison,placed on IL with right shoulder injury
340,2019-11-29,Jazz,,Juwan Morgan,placed on IL
341,2019-11-29,Jazz,Ed Davis (Adam),,activated from IL
342,2019-11-29,Magic,Aaron Gordon,,activated from IL
343,2019-11-29,Nets,DeAndre Jordan,,activated from IL
344,2019-11-29,Warriors,,D'Angelo Russell,placed on IL with sprained right thumb
345,2019-11-30,76ers,Kyle O'Quinn,,activated from IL
346,2019-11-30,Bucks,,Brook Lopez,placed on IL with sore back
347,2019-11-30,Bucks,Dragan Bender,,activated from IL
348,2019-11-30,Bucks,Kyle Korver,,activated from IL
349,2019-11-30,Hawks,,Cameron Reddish / Cam Reddish,placed on IL with sprained left wrist
350,2019-11-30,Hornets,Cody Zeller,,activated from IL
351,2019-11-30,Rockets,,Danuel House Jr.,placed on IL with illness
352,2019-12-01,Clippers,,Rodney McGruder,placed on IL with strained right hamstring
353,2019-12-01,Grizzlies,,Ja Morant,placed on IL with back spasms
354,2019-12-01,Grizzlies,,Jonas Valanciunas,placed on IL with illness
355,2019-12-01,Grizzlies,,Kyle Anderson,placed on IL with right heel injury
356,2019-12-01,Heat,Derrick Jones Jr.,,activated from IL
357,2019-12-01,Jazz,Nigel Williams-Goss,,activated from IL
358,2019-12-01,Magic,,Al-Farouq Aminu,placed on IL with right knee injury (out for season)
359,2019-12-01,Pistons,Sekou Doumbouya,,activated from IL
360,2019-12-01,Raptors,Dewan Hernandez,,activated from IL
361,2019-12-01,Raptors,Serge Ibaka,,activated from IL
362,2019-12-01,Spurs,,LaMarcus Aldridge,placed on IL with right thigh injury
363,2019-12-01,Spurs,Chimezie Metu,,activated from IL
364,2019-12-02,76ers,,Trey Burke,placed on IL with illness
365,2019-12-02,76ers,,Zhaire Smith,placed on IL
366,2019-12-02,Bucks,,Frank Mason,placed on IL
367,2019-12-02,Bucks,Thanasis Antetokounmpo,,activated from IL
368,2019-12-02,Grizzlies,Jonas Valanciunas,,activated from IL
369,2019-12-02,Hawks,,Allen Crabbe,placed on IL with illness
370,2019-12-02,Hawks,Cameron Reddish / Cam Reddish,,activated from IL
371,2019-12-02,Kings,Trevor Ariza,,activated from IL
372,2019-12-02,Knicks,,Marcus Morris,placed on IL with neck spasms
373,2019-12-02,Suns,,Cheick Diallo,placed on IL with illness
374,2019-12-02,Suns,Ty Jerome,,activated from IL
375,2019-12-02,Warriors,Kevon Looney,,activated from IL
376,2019-12-03,Cavaliers,John Henson,,activated from IL
377,2019-12-03,Heat,,Goran Dragic,placed on IL with strained right groin
378,2019-12-03,Heat,Dion Waiters,,activated from IL
379,2019-12-03,Magic,Michael Carter-Williams,,activated from IL
380,2019-12-03,Raptors,Kyle Lowry,,activated from IL
381,2019-12-03,Rockets,Clint Capela,,activated from IL
382,2019-12-03,Spurs,LaMarcus Aldridge,,activated from IL
383,2019-12-03,Wizards,,Thomas Bryant,placed on IL with right foot injury
384,2019-12-04,Bucks,,Dragan Bender,placed on IL
385,2019-12-04,Bucks,Brook Lopez,,activated from IL
386,2019-12-04,Bucks,Sterling Brown,,activated from IL
387,2019-12-04,Bulls,,Max Strus,placed on IL
388,2019-12-04,Hawks,,Chandler Parsons,placed on IL with flu
389,2019-12-04,Hawks,,De'Andre Hunter,placed on IL with right index finger injury
390,2019-12-04,Hawks,Kevin Huerter,,activated from IL
391,2019-12-04,Jazz,,Mike Conley Jr.,placed on IL with left hamstring injury
392,2019-12-04,Kings,,Bogdan Bogdanovic,placed on IL with bruised right knee
393,2019-12-04,Magic,,Michael Carter-Williams,placed on IL with nose injury
394,2019-12-04,Suns,Cheick Diallo,,activated from IL
395,2019-12-04,Warriors,D'Angelo Russell,,activated from IL
396,2019-12-04,Jazz,Juwan Morgan,,activated from IL
397,2019-12-05,76ers,Trey Burke,,activated from IL
398,2019-12-05,Knicks,Elfrid Payton,,activated from IL
399,2019-12-05,Knicks,Marcus Morris,,activated from IL
400,2019-12-05,Pacers,Edmond Sumner,,activated from IL
401,2019-12-05,Rockets,Danuel House Jr.,,activated from IL
402,2019-12-05,Wizards,,Jordan McRae,placed on IL with surgery on finger
403,2019-12-05,Wizards,Ian Mahinmi,,activated from IL
404,2019-12-06,Cavaliers,,Kevin Love,placed on IL with illness
405,2019-12-06,Heat,,Dion Waiters,placed on IL with illness
406,2019-12-06,Kings,Bogdan Bogdanovic,,activated from IL
407,2019-12-06,Magic,Michael Carter-Williams,,activated from IL
408,2019-12-06,Pistons,,Sekou Doumbouya,placed on IL
409,2019-12-06,Thunder,,Terrance Ferguson,placed on IL with right hip injury
410,2019-12-06,Timberwolves,,Andrew Wiggins,placed on IL with sprained left thumb
411,2019-12-06,Wizards,,Isaiah Thomas,placed on IL with strained left calf
412,2019-12-07,76ers,,Joel Embiid,placed on IL with bruised left hip
413,2019-12-07,Blazers,,Rodney Hood,placed on IL with torn left Achilles tendon (out for season)
